product name,Price_discount,Price_original,Details
Green Leafy Lettuce - Hydroponically Grown,₹ 64,₹ 83,120 g - 150 g
Baby Spinach - Hydroponically Grown,₹ 90,₹ 114,100 g
Coriander (Without Roots) (Dhaniya),₹ 33,₹ 100,100 g
Garlic - Organically grown (Lehsun),₹ 67,₹ 93,100 g
"Sarso Saag Veggie Mix (Chopped Sarso, Methi & Palak)",₹ 61,₹ 200,500 g
Organic Onion (Pyaz),₹ 38,₹ 49,500 g
Chilli - Organically grown (Mirch),₹ 15,₹ 20,100 g
Cherry Tomatoes - Hydroponically Grown,₹ 70,₹ 95,1 unit (150 g - 200 g)
Green Peas - Organically grown,₹ 21,₹ 28,250 g
Tomato - Organically grown (Tamatar),₹ 29,₹ 37,500 g
Beetroot - Organically grown (Chukandar),₹ 12,₹ 15,250 g
Broccoli Florets 200g,₹ 61,₹ 200,200 g
Mixed Sprouts,₹ 44,₹ 75,200 g
Spinach (Without Roots) (Palak),₹ 42,₹ 80,
Lemon - Organically grown (Nimbu),₹ 39,₹ 52,250 g
Green Peas (Peeled),₹ 60,₹ 160,200 g
Grated Carrot,₹ 20,₹ 80,250 g
Spinach - Chopped,₹ 37,₹ 100,250 g
Fenugreek Leaves (without Roots) (Methi),₹ 48,₹ 60,200 g
Lady Finger - Organically grown (Bhindi),₹ 33,₹ 43,250 g
Cherry Tomatoes,₹ 70,₹ 91,200 g
Baby Corn - Packet,₹ 61,₹ 80,200 g
Garlic Peeled,₹ 90,,100 g
Exotic Vegetable Salad - Hydroponically Grown,₹ 123,₹ 190,1 box (250-300 g)
Cabbage - Organically grown (Patta Gobhi),₹ 23,₹ 32,1 piece (300 g - 400 g)
Green Cucumber - Organically grown (Kheera),₹ 28,₹ 39,500 g
Hearty Autumn Leafy Veggie Mix - Hydroponically Grown,₹ 105,₹ 147,125 g - 150 g
Mint Leaves (Without Roots) (Pudina),₹ 24,₹ 90,100 g
Parsley,₹ 18,₹ 23,50 g
Mojito Combo,₹ 56,₹ 135,100 g + 250 g - 300 g
Rosemary,₹ 36,₹ 48,20 g
Romaine Lettuce,₹ 50,₹ 70,200 g - 300 g
White Onion (Safed Pyaz),₹ 48,₹ 63,500 g
Drumstick Cut,₹ 62,₹ 105,200 g
Oyster Mushroom,₹ 158,₹ 219,1 Box (200 g)
Broccoli Soup - Combo,₹ 165,₹ 216,1 unit (300 - 400 g) + 1 kg + 200 g
Kale Leaves,₹ 47,₹ 62,100 g - 125 g
Butternut Squash,₹ 394,₹ 539,1 kg
Black Carrot,₹ 32,₹ 44,500 g
Chinese Cabbage,₹ 26,₹ 33,1 piece (400 g - 700 g)
Asparagus Bunch,₹ 114,₹ 150,100 g
Cauliflower (Phool Gobhi),₹ 17,₹ 22,1 piece (400 g - 600 g)
Radish (Mooli),₹ 23,₹ 29,500 g - 600 g
Onion - 1 kg (Pack of 2),₹ 79,₹ 110,2 x 1 kg
Brinjal Bharta (Baingan),₹ 33,₹ 43,500 g
Bottle Gourd (Lauki),₹ 52,₹ 68,1 piece (400 g - 600 g)
Amla (Amla),₹ 22,₹ 27,250 g
Desi Salad Combo,₹ 58,₹ 77,500 g + 500 g - 600 g + 500 g
Turnip (Shalgam),₹ 21,₹ 26,500 g
Small Purple Brinjal (Baingan),₹ 32,₹ 40,250 g - 300 g
Pointed Gourd (Parwal),₹ 29,₹ 37,250 g
Sponge Gourd (Tori),₹ 58,₹ 79,400 g - 500 g
Amla Beetroot & Carrot Juice - Combo,₹ 53,₹ 70,500 g + 500 g -600 g + 250 g
Red Potato (Aloo),₹ 28,₹ 37,1 kg
Raw Papaya (Kacha Papita),₹ 19,₹ 24,1 piece (400 g - 600 g)
Green Soup - Combo,₹ 48,₹ 62,250 g + 250 g + 200 g
Halwa Carrot (Gajar),₹ 54,₹ 69,2 kg
Raw Banana (Kacha Kela),₹ 34,₹ 43,3 pieces
Chappan Tinda/ Summer Squash,₹ 22,₹ 29,500 g
Green Pumpkin (Hara Kaddu),₹ 64,₹ 82,1.5 kg - 2.5 kg
Long Purple Brinjal (Baingan),₹ 52,₹ 72,500 g
Onion (1 kg) + Potato 1 kg + Hybrid Tomato -500 g Combo,₹ 133,₹ 182,
Onion (1 kg) + Potato - 1 kg + Desi Tomato - 500 g Combo,₹ 108,₹ 144,500 g + 200 g + 250 g - 300 g + 100 g
Cowpea Beans (Lobia Phali),₹ 155,₹ 216,
Hydroponic Sweet Bell Pepper (Cocktail),₹ 15,₹ 20,250 g
Sweet Corn - Packet,₹ 126,₹ 250,2 pieces (200 g - 350 g)
Lettuce Box - Hydroponically Grown,₹ 39,₹ 75,180 g - 200 g
Potato - Organically Grown,₹ 47,₹ 58,1 unit (100 g - 125 g)
Portion Pumpkin,₹ 37,₹ 48,1 kg
Red Bell Pepper,₹ 47,₹ 60,1 pack (500 g)
Lettuce Mix - Hydroponically Grown,₹ 46,₹ 58,1 piece (125 g - 175 g)
Fenugreek (Methi) - Chopped,₹ 68,₹ 89,
Snacking Seedless Cucumber - Hydroponically Grown,₹ 50,₹ 75,200 g
Spinach (Palak),₹ 73,₹ 94,500 g
Yellow Bell Pepper,₹ 14,₹ 17,
Pumpkin (Cut),₹ 64,₹ 84,1 piece (125 g - 175 g)
Green Moong Sprouts,₹ 40,₹ 55,250 g
Green Capsicum - Organically Grown,₹ 39,₹ 70,150 g - 160 g
Red Cherry Tomatoes - Hydroponically Grown,₹ 28,₹ 39,250-300 g
French Fresh Beans - Organically grown,₹ 68,₹ 91,100 g
Organic Radish,₹ 24,₹ 31,250 g
Parsley - Hydroponically Grown,₹ 19,₹ 24,2 pieces (250 g - 350 g)
Basil Leaves - Hydroponically Grown,₹ 73,₹ 93,25 g
Spring Onion (Hari Pyaz),₹ 70,₹ 97,
Jackfruit (Cut) (Kathal),₹ 25,₹ 31,150 g
Fenugreek (Methi),₹ 53,₹ 105,200 g
Salad Box - Hydroponically Grown,₹ 23,₹ 29,250 g
Rocket leaves/ Arugula - Hydroponically Grown,₹ 96,₹ 129,1 box
Curry Leaves (Kadi Patta),₹ 82,₹ 300,40 g - 50 g
Pulao Veggie Mix,₹ 21,₹ 26,100 g
Iceberg Lettuce,₹ 52,₹ 130,250 g
Green Lettuce,₹ 37,₹ 49,250 g
Spinach - Hydroponically Grown (250 g),₹ 52,₹ 67,200 g - 250 g
Green Zucchini,₹ 89,₹ 111,250 g
Cauliflower - Organically grown (Ful Gobhi),₹ 21,₹ 28,1 piece (200 g - 250 g)
Organic English Cucumber,₹ 21,₹ 28,1 piece (300 g - 400 g)
Brown Chana Sprouts,₹ 62,₹ 84,1 unit (150 g - 200 g)
Chenopodium (Bathua),₹ 34,₹ 47,500 g
Mint Leaves (Pudina),₹ 93,₹ 128,1 box
Yam,₹ 39,₹ 70,150 g - 160 g
Veggie Salad Mix,₹ 19,₹ 24,250 g
Baby Spinach Hydroponically Grown,₹ 18,₹ 22,100 g
Leek,₹ 39,₹ 70,250 g
Sangria Combo,₹ 43,₹ 80,250 g
Basil Leaves + Lemon + Fresh Mint Leaves - without roots Combo,₹ 103,₹ 400,100 g
Basil Leaves + Lemon + Mint Leaves Bunch - With roots Combo,₹ 29,₹ 39,200 g
Basil Leaves - Hydroponically Grown + Lemon + Fresh Mint Leaves - without roots Combo,₹ 50,₹ 67,100 g + 250 g - 300 g
Basil Leaves - Hydroponically Grown + Lemon + Mint Leaves Bunch - With roots Combo,₹ 278,₹ 377,2 pieces (300 g - 400 g) + 2 pieces (240 g - 340 g) + 250 g - 300 g
Mustard Leaves (Sarso Saag),₹ 93,₹ 182,50 g + 250 g - 300 g + 100 g
Lemongrass,₹ 87,₹ 114,50 g + 250 g - 300 g + 100 g
Hara Chana Saag,₹ 125,₹ 232,25 g + 250 g - 300 g + 100 g
Basil Leaves,₹ 120,₹ 164,25 g + 250 g - 300 g + 100 g
Bottle Gourd - Organically Grown,₹ 28,₹ 80,500 g
Celery,₹ 25,₹ 33,100 g
Bok Choy,₹ 17,₹ 85,200 g
Bitter Gourd - Organically grown (Karela),₹ 37,₹ 47,50 g
Pumpkin Soup - Combo,₹ 60,₹ 76,1 piece (400 g - 600 g)
Cremini Mushroom,₹ 67,₹ 84,250 g
Yellow Cherry Tomato,₹ 66,₹ 86,500 g
Gobhi Paratha Filling Mix,₹ 37,₹ 46,250 g
Dill Leaves (Soya),₹ 138,₹ 183,1 pack (500 g) + 500 g - 700 g + 500 g
Curly Kale Leaves,₹ 198,₹ 261,1 box (200 g)
Chinese Combo,₹ 98,₹ 137,200 gm
Thyme,₹ 33,₹ 75,250 g
Thai Ginger,₹ 17,₹ 22,100 g
Sweet Corn Soup - Combo,₹ 177,₹ 247,100 g
Amul Taaza Toned Fresh Milk,₹ 81,₹ 104,150 g + 500 g + 1 piece (400 g - 600 g) + 250 g
Amul Gold Full Cream Fresh Milk,₹ 62,₹ 81,20 g
Mother Dairy Toned Fresh Milk,₹ 92,₹ 126,100 g
Amul Cow Fresh Milk,₹ 162,₹ 237,180 g - 200 g + 500 g + 1 piece (125 g - 175 g) + 1 piece (125 g - 175 g)
Mother Dairy Cow Fresh Milk,₹ 27,,500 ml
Mother Dairy Full Cream Fresh Milk,₹ 33,,500 ml
Amul Taaza Homogenised Toned Milk,₹ 27,,500 ml
Amul Moti Toned Milk (90 Days Shelf Life),₹ 28,,500 ml
Mother Dairy FIT Life Homogenized Double Toned Milk,₹ 28,,500 ml
Amul Gold Milk,₹ 33,,500 ml
Yakult Probiotic Health Drink,₹ 71,₹ 74,1 l
Kellogg's Chocos Cereal + Amul Taaza Toned Fresh Milk Combo,₹ 33,,450 ml
Kellogg's Real Almond Honey Corn Flakes + Amul Taaza Toned Fresh Milk Combo,₹ 32,,
Nestle a+ Nourish Toned Milk,₹ 80,,1 l
Kellogg's Original Cereals Corn Flakes + Amul Taaza Toned Fresh Milk Combo,₹ 90,,5 x 65 ml
"Kellogg's Double Chocolaty Fills Chocos (Crunchy Outside, Creamy Inside) + Amul Taaza Toned Fresh Milk Combo",₹ 71,₹ 97,7 units + 500 ml
Sofit Vanilla Soy Beverage,₹ 100,₹ 126,170 g + 500 ml
Sofit Chocolate Soy Beverage,₹ 106,,1 l
Sofit Natural Soy Beverage - Pack of 2,₹ 193,₹ 222,475 g + 500 ml
"Kellogg's Multigrain Chocos Crunchy Bites, Kids Cereal + Amul Taaza Toned Fresh Milk Combo",₹ 183,₹ 232,250 g + 500 ml
Nutty Yogi Organic Cold Pressed Coconut Milk,₹ 144,₹ 155,
Amul Lactose Free Milk,₹ 144,₹ 155,
Yakult Light Probiotic Health Drink,₹ 282,₹ 310,
Sorrentina Honestly Italian Black Truffle Chips,₹ 181,₹ 232,500 ml + 375 g
Lay's India's Magic Masala Potato Chips (40 g),₹ 399,,400 ml
Uncle Chipps Spicy Treat Flavour Potato Chips,₹ 25,,250 ml
Lay's American Style Cream & Onion Potato Chips,₹ 100,,5 x 65 ml
Kurkure Masala Munch Crisps - Pack of 3,₹ 69,₹ 99,45 g
Lay's West Indies Hot n Sweet Chilli Flavour Potato Chips,₹ 20,,40 g
Lay's Chile Limon Flavour Potato Chips,₹ 20,,50 g
Uncle Chipps Plain Salted Potato Chips,₹ 20,,40 g
Lay's Crispz Herb & Onion Potato Chips,₹ 54,₹ 60,
Lay's Classic Salted Potato Chips,₹ 20,,48 g
Lay's Spanish Tomato Tango Potato Chips,₹ 20,,40 g
Kurkure Chilli Chatka Crisps - Pack of 3,₹ 40,₹ 50,
Kurkure Puffcorn Yummy Cheese Puffs - Pack of 3,₹ 20,,47 g
Haldiram's Pudina Treat Chips,₹ 20,,40 g
Haldiram's Classic Salted Chips,₹ 20,,40 g
Lay's Sizzling Hot Potato Chips - Pack of 3,₹ 54,₹ 60,
Beyond Snack Kerala Original Style Banana Chips - Pack of 2,₹ 54,₹ 60,
Lay's India's Magic Masala Potato Chips - Pack of 2,₹ 25,,55 g
Haldiram's Takatak Chatpata Masala Stick,₹ 25,,55 g
Lay's Wafer Style - Sundried Chilli Potato Chips,₹ 54,₹ 60,
Natkhat Classic Wheat Puff Crisps,₹ 103,₹ 120,
Lay's Wafer Style - Salt with Pepper Potato Chips,₹ 80,₹ 100,
Kurkure Green Chutney Crisps,₹ 25,,105 g
Lay's Maxx Macho Chilli Potato Chips,₹ 20,,
Uncle Chipps Spicy Treat Potato Chips,₹ 40,₹ 60,
Haldiram's Snac Lite Fun Fingers Lightly Spiced Namkeen,₹ 20,,
Haldiram's Snac Lite Fun Wheels Spicy Masala Namkeen,₹ 20,,
Bingo Tedhe Medhe Masala Tadka Crisps - Pack of 3,₹ 27,₹ 30,
Chheda's Yellow Banana Chips (Salted),₹ 40,₹ 50,
Bingo Mad Angles Achaari Masti Crisps - Pack of 3,₹ 25,,85 g
Lay's American Style Cream & Onion Flavour Potato Chips + Saucery Roasted Garlic & Spring Onion Dip Combo,₹ 25,,85 g
Lay's Wafer Style - Sundried Chilli Potato Chips + Saucery Roasted Garlic & Spring Onion Dip Combo,₹ 45,₹ 60,
Too Yumm Classic Salted Wafers Potato Chips,₹ 74,₹ 100,170 g
Bingo Hashtags Spicy Masala Potato Chips - Pack of 2,₹ 54,₹ 60,
Too Yumm Kashmiri Chilli Potato Chips,₹ 200,₹ 250,90 g + 150 g
Too Yumm Spicy Chilli Wafers Potato Chips - Pack of 2,₹ 178,₹ 220,40 g + 150 g
Lay's Gourmet Potato Chips - Vintage Cheese & Paprika Flavour + Saucery Roasted Garlic & Spring Onion Dip Combo,₹ 43,₹ 50,
Crax Curls Chatpata Masala Crisps - Pack of 3,₹ 40,₹ 60,
Lay's American Style Cream & Onion Flavour Potato Chips,₹ 47,₹ 50,
Kurkure Sizzlin' Hot Crisps - Pack of 3,₹ 80,₹ 100,
Pringles Sour Cream & Onion Potato Chips,₹ 200,₹ 250,80 g + 150 g
Saucery Hummus Dip + Lay's Chile Limon Flavour Potato Chips Combo,₹ 108,₹ 180,
Gulab Potato Wafers,₹ 30,,
Lay's Gourmet Potato Chips - Thai Sweet Chilli Flavour + Saucery Hummus Dip Combo,₹ 48,₹ 60,
Lay's India's Magic Masala Potato Chips (40 g) + Saucery Hummus Dip Combo,₹ 104,₹ 115,
Crax Corn Rings Masala Mania Crisps - Pack of 3,₹ 178,₹ 220,40 g + 150 g
Kurkure Playz Puffcorn Yummy Cheese Puffs,₹ 38,₹ 75,150 g
Snackible Peri Peri Ragi Chips,₹ 200,₹ 250,80 g + 150 g
Bingo Original Style Chilli Potato Chips - Pack of 4,₹ 178,₹ 220,40 g + 150 g
Peppy Cheese Balls - Pack of 4,₹ 66,₹ 75,
Pringles Original Potato Chips,₹ 40,₹ 50,
Kurkure Chaat Fills Crisps (Papdi Chaat Twist),₹ 48,₹ 50,55 g
Wingreens Farms Butter Garlic Naan Chips (Pouch) + Wingreens Farms Garlic Dip Combo,₹ 72,₹ 80,
Lay's Gourmet Potato Chips - Thai Sweet Chilli Flavour - Pack of 2,₹ 120,₹ 240,
Beyond Snack Original Style Kerala Banana Chips - Pack of 2,₹ 104,₹ 115,
Chheda's Long Masala Banana Chips,₹ 20,,40 g
Beyond Snack Peri Peri Kerala Banana Chips - Pack of 2,₹ 192,₹ 240,60 g + 150 g
Beyond Snack Hot and Sweet Chilli Kerala Banana Chips - Pack of 2,₹ 80,₹ 100,
Beyond Snack Desi Masala Kerala Banana Chips - Pack of 2,₹ 162,₹ 190,
Lay's Classic Salted Flavor Potato Chips - Pack of 2,₹ 79,₹ 85,170 g
Beyond Snack Salt & Black Pepper Kerala Banana Chips - Pack of 2,₹ 162,₹ 190,
"Beyond Snack Sour Cream, Onion & Parsley Kerala Banana Chips - Pack of 2",₹ 103,₹ 120,
Lay's Indian Masala Magic Flavor Potato Chips,₹ 103,₹ 120,
Beyond Snack Kerala Peri Peri Banana Chips - Pack of 2,₹ 80,₹ 100,
Piknik Classic Tomato Chilli Soya Sticks - Pack of 4,₹ 162,₹ 190,
Lay's Gourmet Potato Chips - Vintage Cheese & Paprika Flavour - Pack of 2,₹ 162,₹ 190,
Bingo Mad Angles Tomato Madness Crisps - Pack of 3,₹ 30,,73 g
Pringles Pizza Flavoured Potato Chips,₹ 103,₹ 120,
Natkhat Masala Wheat Puff Crisps,₹ 120,₹ 240,
Crax Cheese Balls - Pack of 3,₹ 80,₹ 100,
Let's Try Potato Wafers,₹ 54,₹ 60,
Peppy Tomato Discs Crisps - Pack of 4,₹ 104,₹ 115,
Pringles South African Peri Peri Chips,₹ 40,₹ 60,82 g
Gulab Aloo Chips,₹ 108,₹ 180,
Pringles Tangy Tomato Twist Potato Chips + Sprite Lime Flavored Soft Drink 750 ml Combo,₹ 37,₹ 50,60 g
Saffola Munchiez Masala Twist Ragi Chips,₹ 120,₹ 240,
Chheda's Salt-n-Pepper Banana Chips - 170 g,₹ 104,₹ 115,
Kurkure Chaat Fills Crisps (Bhel Chutney Twist),₹ 68,₹ 75,150 g
Pringles Desi Masala Tadka Potato Chips,₹ 147,₹ 160,102 g + 750 ml
Bingo Mad Angles Achaari Masti Crisps + Bingo Mad Angles Tomato Madness Crisps + Bingo Mad Angles Masala Madness Crisps Combo,₹ 57,₹ 60,80 g
Maggi 2 - Minute Instant Noodles,₹ 70,₹ 75,170 g
Maggi Nutri-Licious Masala Veg Atta Noodles,₹ 16,₹ 20,40 g
Maggi Cuppa Masala Cup Noodles,₹ 104,₹ 115,
Ching's Secret Just Soak Veg Hakka Noodles,₹ 51,₹ 60,66 g + 66 g + 66 g
Wai Wai Ready To Eat Chicken Flavoured Noodles,₹ 106,₹ 112,
Maggi Spicy Garlic Instant Noodles,₹ 102,₹ 112,290 g
Tops Plain Noodles,₹ 50,,70.5 g
Maggi Masala 2 Minutes Instant Noodles - Pack of 2,₹ 29,₹ 30,140 g
Wai Wai Ready To Eat Veg Masala Flavoured Noodles,₹ 86,₹ 90,1 pack (6 pieces)
Nissin Geki - Hot & Spicy Korean Veg Flavoured Instant Noodles - Pack of 3,₹ 70,₹ 80,248 g
Sunfeast Yippee Magic Masala Instant Noodles (240 g),₹ 50,₹ 60,300 g
Maggi Cuppa Chilly Chow Cup Noodles,₹ 111,₹ 112,2 x 280 g
Wai Wai Ready To Eat Cup Noodles,₹ 86,₹ 90,1 pack (6 pieces)
Nissin Mazedar Masala Cup Noodles - Pack of 2,₹ 128,₹ 147,
Timios Millet Masala Flavoured Instant Noodles,₹ 52,₹ 56,240 g
Top Ramen Curry Veg Noodles - Pack of 2,₹ 50,,70 g
Sunfeast Yippee Magic Masala Instant Noodles,₹ 44,₹ 55,70 g
Yu Veg Hakka Noodles - Chowmein Style,₹ 90,₹ 100,
Nissin Veggi Manchow Cup Noodles - Pack of 2,₹ 100,₹ 128,
Nissin Geki Hot & Spicy Korean Veg Cup Noodles,₹ 182,₹ 200,
Nissin Geki Hot & Spicy Korean Kimchi Flavoured Instant Noodles,₹ 130,₹ 168,12 x 60 g
Wai Wai Ready To Eat Chicken Cup Noodles,₹ 27,₹ 45,
Tops Plain Noodles + Tops Premium Synthetic (White) Vinegar + Tops Dark Soy Sauce Combo,₹ 90,₹ 100,
Sunfeast Yippee Mood Masala Instant Noodles,₹ 72,₹ 89,70 g
Yu 100% Whole Wheat Noodles - Pack of 2,₹ 40,₹ 49,80 g
Maggi Nutri-licious Masala Veg Atta Noodles with Spinach,₹ 44,₹ 55,70 g
Top Ramen Masala Noodles,₹ 152,₹ 190,300 g + 610 ml + 220 g
Timios Millet Tomato Flavoured Instant Noodles,₹ 51,₹ 60,260 g
Maggi Instant Chicken Noodles,₹ 66,₹ 110,
Saffron Chin Chin Hakka Noodles,₹ 112,,290 g
Maggi Special Masala Spicy Instant Noodles - Pack of 12,₹ 53,,
Maggi Spicy Manchurian Instant Noodles,₹ 100,₹ 128,
"Saffola Oodles Instant Noodles, No Maida",₹ 80,,284 g
Wai Wai Chinese Hakka Veg Noodles,₹ 120,,600 g
MasterChow Healthy Whole Wheat Noodles,₹ 216,₹ 240,
Ching's Secret Hot Garlic Flavoured Instant Noodles - Pack of 2,₹ 70,₹ 80,244 g
MasterChow Instant Cup Noodles (Korean 2X Spicy Flavour) - Pack of 2,₹ 70,₹ 100,
Yu Chilli Chicken Instant Cup Noodles (70 g),₹ 40,₹ 50,160 g
Knorr Korean Ramen Spicy Kimchi Veg Flavoured Instant Noodles,₹ 146,₹ 165,
Nissin Veggi Manchow Noodles (Cup) - Pack of 3,₹ 143,₹ 160,
Yu Zingy Cheese Instant Cup Noodles (80 g),₹ 135,₹ 150,
Nissin Spiced Chicken Cup Noodles - Pack of 2,₹ 49,₹ 69,70 g
Top Ramen Masala Noodles (240 g) - Pack of 2,₹ 54,₹ 60,96 g
Maggi Masala Noodles - Pack of 2,₹ 132,₹ 150,3x70 g
Moi Soi Veg Hakka Noodles,₹ 49,₹ 69,80 g
Slurrp Farm Millet Healthy Instant Noodles,₹ 90,₹ 100,
Nissin Top Ramen Curry Veg Noodles,₹ 99,₹ 106,2 x 240 g
Nissin Geki Hot & Spicy Korean Veg Flavoured Instant Noodles,₹ 305,₹ 336,2 x (12 x 70 g)
Nissin Geki Hot & Spicy Korean Chicken Flavoured Instant Noodles,₹ 93,₹ 99,500 g
Nissin Mazedar Masala Noodles (Cup) - Pack of 3,₹ 140,,4 x 57 g
MasterChow Instant Cup Noodles (Chowmein Flavour),₹ 123,₹ 150,420 g
MasterChow Instant Cup Noodles (Chowmein Flavour) + Instant Cup Noodles (Korean 2X Spicy Flavour) Combo,₹ 210,₹ 240,1 pack (5 x 80 g)
Yu Chilli Manchurian Instant Cup Noodles (70 g),₹ 210,₹ 240,1 pack (5 x 80 g)
Sunfeast Yippee Magic Masala Instant Noodles (360 g),₹ 132,₹ 150,3x70 g
Slurrp Farm Little Millet Noodles,₹ 62,₹ 65,
Ching's Secret Schezwan Flavoured Instant Noodles,₹ 123,₹ 140,100 g + 100 g
Yu Zingy Cheese Instant Cup Noodles - Pack of 2,₹ 49,₹ 65,70 g
Slurrp Farm Foxtail Millet Noodles,₹ 71,₹ 78,
Top Ramen Atta Masala Noodles,₹ 129,,
Sunfeast Yippee Magic Masala Noodles - 240 g - Pack of 2,₹ 72,₹ 80,
MasterChow Japanese Udon Noodles,₹ 90,₹ 138,2 x 80 g
Ching's Secret Manchurian Flavoured Instant Noodles - Pack of 2,₹ 129,,
MasterChow Chinese Hakka Noodles,₹ 95,₹ 100,
Yu Red Hot Korean Chicken Cup Noodles - Spicy Ramen - Pack of 2,₹ 95,₹ 112,2 x 240 g
Wai Wai Chinese Hakka Egg Noodles,₹ 154,₹ 165,300 g
Yu Butter Chicken Cup Noodles (70 g),₹ 143,₹ 160,
Yu Chilli Chicken Instant Cup Noodles - Pack of 2,₹ 135,₹ 145,
Yu Three Cheese Instant Pasta Cup + Yu Chilli Chicken Instant Cup Noodles Combo,₹ 110,₹ 158,
Yu Peri Peri Instant Pasta Cup + Yu Chilli Chicken Instant Cup Noodles Combo,₹ 32,₹ 40,160 g
Yu Chilli Manchurian Instant Cup Noodles - Pack of 2,₹ 55,₹ 79,70 g
Patanjali Chatpata Atta Noodles (Classic Family Pack),₹ 90,₹ 138,2 x 70 g
Moi Soi Udon Flat Noodles,₹ 115,₹ 164,65 g + 70 g
Slurrp Farm Foxtail Millet Noodles + Slurrp Farm Little Millet Noodles Combo,₹ 115,₹ 164,60 g + 70 g
Nissin Spiced Chicken Cup Noodles - Pack of 3,₹ 90,₹ 130,2 x 70 g
Yu Desi Chowmein With Sauce And Veggies,₹ 48,,240 g
Wai Wai Xtra Spicy Dynamite Chicken Flavoured Instant Noodles,₹ 86,₹ 99,
Yu Chilli Chicken Instant Cup Noodles + Yu Butter Chicken Cup Noodles Combo,₹ 90,₹ 105,1 pack (8 pieces x 60 g)
Yu Butter Chicken Cup Noodles - Pack of 2,₹ 245,₹ 258,192 g + 192 g
Maggi Chicken Noodles - Pack of 2,₹ 132,₹ 150,3 x 70 g
WickedGud Nourishing Hakka Noodles,₹ 32,₹ 55,
Yu Instant Schezwan Hakka Noodles (Steamed Hakka + Sauce + Veggies),₹ 225,₹ 250,1 pack (100 g x 5 pieces)
Wai Wai Dynamite Xtra Spicy Tama Flavoured Instant Noodles,₹ 99,₹ 148,70 g + 70 g
MasterChow Chowmein Sauce + Chinese Hakka Noodles Combo,₹ 99,₹ 158,2 x 70 g
Keya Veg Hakka Noodles,₹ 159,₹ 160,2 x 284 g
MasterChow Japanese Udon Noodles - Pack of 2,₹ 102,₹ 120,200 g
Yu Chilli Manchurian Instant Cup Noodles + Yu Zingy Cheese Instant Cup Noodles Combo,₹ 33,₹ 65,100 g
Yu Instant Kung Pao Chicken Hakka Noodles (Steamed Hakka + Sauce + Chicken),₹ 225,₹ 250,1 pack (5 pieces x 100 g)
Knorr Spicy Jjajangmyeon Ramen Noodles,₹ 268,₹ 315,300 g + 220 g
Moi Soi Veg Long Hakka Noodles,₹ 45,,150 g
Yu Chilli Chicken Instant Cup Noodles + Yu Zingy Cheese Instant Cup Noodles Combo,₹ 284,₹ 330,2 x 300 g
Yu Instant Schezwan Hakka Noodles (Steamed Hakka + Sauce + Veggies) - Buy 1 Get 1 Free,₹ 90,₹ 134,70 g + 80 g
