name,mrp,our_price,category,subcategory,unit,discount,quantity,unit_price,product_url,sub-category,image,status,stock_count,is_dmart_exclusive,productid,brand,imageurl,isavailable,createdat,updatedat,details
Bajaj Dry Iron - DX4 : 1000 W,1400.0,1400.0,Uncategorized,,,,,,,,,,,,,,,,,,
Pigeon 14625 Dry Iron (Pink) - 1000 W : 1 Unit,1095.0,1095.0,Lighting & Electrical,pin,,,,,,,,,,,,,,,,,
Geep Vintage Dry Iron - Cherry Red - 1000 W : 1 Unit,699.0,699.0,Uncategorized,,,,,,,,,,,,,,,,,,
Jaipan Hot Plus Iron 1000W - White : 1 Unit,1095.0,1095.0,Uncategorized,,,,,,,,,,,,,,,,,,
GM Ferro Heavyweight Dry Iron - Orange : 1200 W,1990.0,1990.0,Uncategorized,,,,,,,,,,,,,,,,,,
Agaro Signify Handheld Garment Steamer - 1500 W : 1 Unit,4299.0,4299.0,Clothing,men,1 Unit,,,,,,,,,,,,,,,,
GM Cruise Dry Iron - Red : 1000 W,1390.0,1390.0,Uncategorized,,,,,,,,,,,,,,,,,,
Crompton Greaves Super Hill Briz Ceiling Fan 1200 mm : Brown,2599.0,2599.0,Uncategorized,,,,,,,,,,,,,,,,,,
Crompton Greaves Super Briz Deco Ceiling Fan 1200 mm : Smoked Brown,3139.0,3139.0,Uncategorized,,,,,,,,,,,,,,,,,,
D Homes Mini Table Fan - KN-2816 : 1 Unit,1110.0,1110.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
D Homes Table Fan - KN-L2885 : 1 Unit,610.0,610.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Portronics Portable 360° Fan Rechargeable (Black + Blue) - POR-1928 : 1 Unit,1999.0,1999.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Portronics Portable Desktop 360° Cooling Fan (White) - POR-2079 : 1 Unit,3999.0,3999.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Crompton Greaves Super Briz Deco Ceiling Fan 1200 mm : Ivory,3139.0,3139.0,Uncategorized,,,,,,,,,,,,,,,,,,
Usha Racer Chrome Ceiling Fan 1200 mm : Brown,3390.0,3390.0,Uncategorized,,,,,,,,,,,,,,,,,,
Portronics Portable 360° Fan Rechargeable (White + Grey) - POR-1929 : 1 Unit,1999.0,1999.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
D Homes Rechargeable Mini Fan - KN-L2915 : 1 Unit,610.0,610.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Portronics Portable Pocket Fan Rechargeable (Green) - POR-1927 : 1 Unit,1499.0,1499.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Usha Aerostyle Ceiling Fan 1200 mm : Brown,2595.0,2595.0,Uncategorized,,,,,,,,,,,,,,,,,,
Portronics Portable Pocket Fan Rechargeable (White) - POR-1926 : 1 Unit,1499.0,1499.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Usha Air King Ceiling Fan 1200 mm : Brown,2800.0,2800.0,Uncategorized,,,,,,,,,,,,,,,,,,
Usha Swift Ceiling Fan - 600 mm (Brown) : 1 Unit,2745.0,2745.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Crompton IHL-201 Immersion Heater : 1000 W,1020.0,1020.0,Uncategorized,,,,,,,,,,,,,,,,,,
Crompton Immersion Heater : 1000 W,740.0,740.0,Uncategorized,,,,,,,,,,,,,,,,,,
Usha IH2410 Immersion Heater : 1000 W,790.0,790.0,Uncategorized,,,,,,,,,,,,,,,,,,
Midea Electric Instant Water Heater MWH03-30MKA(IN) W - 3000 W : 1Unit,5490.0,5490.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
GM 4+1 Power Strip : 1 Unit,650.0,650.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Geep Extreme 3 PIN Multi Plug Adapter : 1 Unit,205.0,205.0,Lighting & Electrical,adapter,1 Unit,,,,,,,,,,,,,,,,
GM 2 Pin Square Flex Box : 5 Metres,431.0,431.0,Lighting & Electrical,flex,5 Metre,,,,,,,,,,,,,,,,
Portronics Extension Power Plate 5 : 1 Unit,1299.0,1299.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Geep G-Square Flex Box : 4 Metres,360.0,360.0,Lighting & Electrical,flex,4 Metre,,,,,,,,,,,,,,,,
Multipurpose Tailoring Sewing Kit (Big) : 1 Unit,110.0,110.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Geep Modular Night Lamp : 1 Unit,170.0,170.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Geep 4 Way Multi Plug Adapter : 1 Unit,349.0,349.0,Lighting & Electrical,adapter,1 Unit,,,,,,,,,,,,,,,,
Geep Power Bar 4+1 Power Strip : 2 Metre,450.0,450.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Geep Power Line 4+4 Power Strip : 1.5 Metre,650.0,650.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Portronics Konnect A Charging Cable : 1 Unit,599.0,599.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
D Homes Bicycle Multi Purpose Safety Cable Lock - 80 cm : 1 Unit,166.0,166.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Multipurpose Buster Air Pump - 71 cm : 1 Unit,335.0,335.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
GM G-on Mini 2 Pin 2.5M Extension Cord - White : 1 Unit,387.0,387.0,Lighting & Electrical,pin,1 Unit,,,,,,,,,,,,,,,,
Godrej Locks - Nav-Tal 7 Levers (1 Lock & 4 Keys) : 1 Unit,860.0,860.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Hosi Havey Duty Brass Lock - 50mm : 1 Unit,220.0,220.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Goodyear Multi Screwdriver Set - 9 Pieces : 1 Unit,525.0,525.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Godrej Locks - Navtal Ultra Xl+ (1 Lock & 4 Keys) : 1 Unit,990.0,990.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
GM 3 Pin Travel Universal Multi Plug Adapter - White : 1 Unit,390.0,390.0,Lighting & Electrical,adapter,1 Unit,,,,,,,,,,,,,,,,
Portronics Adapto One-Power Adapter : 1 Unit,699.0,699.0,Lighting & Electrical,adapter,1 Unit,,,,,,,,,,,,,,,,
Nippo 2 Pin Flex Box  : 4 Metres,349.0,349.0,Lighting & Electrical,flex,4 Metre,,,,,,,,,,,,,,,,
D Homes Multipurpose Cylinder Pad Lock - 50 mm : 1 Unit,110.0,110.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Mobilla Portable Power Bank (MPOWER MAC-2 ) - Black : 1 Unit,3499.0,3499.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Geep Micro USB High Speed Charging Cable (1 Metre) : 1 Unit,299.0,299.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Godrej Locks - Nav-Tal 6 Levers (1 Lock & 3 Keys) : 1 Unit,499.0,499.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
GM Meridian 2 Pin 5 Meter Flex Box - Red : 1 Unit,585.0,585.0,Lighting & Electrical,flex,1 Unit,,,,,,,,,,,,,,,,
Portronics 20W Car Charger With Dual Output (PD+QC) - Black : 1 Unit,699.0,699.0,Uncategorized,,,,,,,,,,,,,,,,,,
GM G-Power 6+1 Spike Guard - White : 1 Unit,1020.0,1020.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
GM 16 AMP 3 Pin Multi Plug Adapter - White : 1 Unit,204.0,204.0,Lighting & Electrical,adapter,1 Unit,,,,,,,,,,,,,,,,
Goodyear D.O.E Spanner Set - 8 Pieces : 1 Unit,515.0,515.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Link - 41 Power Strip,315.0,315.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Portronics Adapto Iii Power Adapter : 1 Unit,599.0,599.0,Lighting & Electrical,adapter,1 Unit,,,,,,,,,,,,,,,,
Good Year 2 In 1 Adjustable Screwdriver : 1 Unit,220.0,220.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Goodyear Combination Plier : 1 Unit,330.0,330.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
GM Cuba Power Strip USB Type C&A - Grey : 1 Unit,1099.0,1099.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Portronics Smart Gadget Cleaning Kit - White : 1 Unit,1499.0,1499.0,Cleaning Tools,cleaning,,,,,,,,,,,,,,,,,
GM Cuba G-Hoop 4+1 Power Strip With USB - White : 1 Unit,1209.0,1209.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Mobilla Mcharge (733) Travel Charger with Type-C Cable - White : 1 Unit,1399.0,1399.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Goodyear Wire Stripper & Cutter : 1 Unit,80.0,80.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Micro USB Charging Cable (1 Metre) : 1 Unit,249.0,249.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Zebronics Car Charger - CC242A3 : 1 Unit,399.0,399.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Mobilla Mcharge (735) Travel Charger - White : 1 Unit,1199.0,1199.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Kent Storm Vacuum Cleaner (116134) : 600 W,5950.0,5950.0,Cleaning Tools,cleaner,,,,,,,,,,,,,,,,,
Midea Vertical Vacuum Cleaner MT2INRE - 600 W : 1 Unit,3690.0,3690.0,Cleaning Tools,cleaner,1 Unit,,,,,,,,,,,,,,,,
Agaro Regal Hand Held Vacuum Cleaner - 800 W : 1 Unit,2999.0,2999.0,Cleaning Tools,cleaner,1 Unit,,,,,,,,,,,,,,,,
Midea Canister Bagged Vacuum Cleaner M11SINBL - 1400 W : 1 Unit,5790.0,5790.0,Cleaning Tools,cleaner,1 Unit,,,,,,,,,,,,,,,,
Jaipan Prince Mixer & Grinder - 850 W (Green) 3 Jars : 1 Unit,4695.0,4695.0,Uncategorized,,,,,,,,,,,,,,,,,,
Pigeon Eva Mixer Grinder 750 W - 3 Jars : 1 Unit,4295.0,4295.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Jaipan Breeza Mixer Grinder - 550 Watts : 3 Jars,2995.0,2995.0,Uncategorized,,,,,,,,,,,,,,,,,,
Bajaj Mixer Grinder Tornado (550 W) - 3 Jars : 1 Unit,4050.0,4050.0,Uncategorized,,,,,,,,,,,,,,,,,,
Bajaj Mixer Grinder - GX4 - 500 W : 3 Jars,3375.0,3375.0,Uncategorized,,,,,,,,,,,,,,,,,,
Balzano High Speed Nutri-Pro Bullet Powerful Mixer Grinder - Silver : 500 W,4999.0,4999.0,Uncategorized,,,,,,,,,,,,,,,,,,
Preethi Peppy 3 Jar Mixer Grinder : 750 Watts,5495.0,5495.0,Uncategorized,,,,,,,,,,,,,,,,,,
Wonderchef Vietri Mixer Grinder Blue - 500 W : 3 Jars,3800.0,3800.0,Uncategorized,,,,,,,,,,,,,,,,,,
Kent Hand Blender (116044) - Silver : 400 W,2100.0,2100.0,Uncategorized,,,,,,,,,,,,,,,,,,
Jaipan Portable Blender 200W - White : 1 Unit,1495.0,1495.0,Uncategorized,,,,,,,,,,,,,,,,,,
Wonderchef Nutri-Blend Mixer - Black : 400 W,5300.0,5300.0,Uncategorized,,,,,,,,,,,,,,,,,,
Crystal Xpress Handy Juicer 2 In 1 : 1 Unit,345.0,345.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Wonderchef Nutri-Blend Mixer With - 400 W (Red) 3 Jars  : 1 Unit,6700.0,6700.0,Uncategorized,,,,,,,,,,,,,,,,,,
Wonderchef Nutri Cup Portable USB Charging Blender (Blue) - 300 ml : 1 Unit,2500.0,2500.0,Uncategorized,,,,,,,,,,,,,,,,,,
Prestige Ace Hand Blender - 250 W : 1 Unit,1295.0,1295.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Agaro Royal Milk Frother - 3 Speed Electric Frother : 1 Unit,999.0,999.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Wonderchef Nutri-blend Black with Jar,6700.0,6700.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Pigeon Digital Healthifry Air Fryer (Green) - 4.2 Litres : 1200 W,5995.0,5995.0,Health & Wellness,health,,,,,,,,,,,,,,,,,
Pigeon Induction Cooktop Acer Plus : 1800 W,3995.0,3995.0,Uncategorized,,,,,,,,,,,,,,,,,,
Prestige Induction Cooktop PIC 16.0 Plus : 1900 W,4295.0,4295.0,Uncategorized,,,,,,,,,,,,,,,,,,
Borosil Prime Grill Sandwich Maker - Grey : 1 Unit,2590.0,2590.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Kent Crisp Pop Up 2 Slice Toaster (116105) - White : 750 W,2600.0,2600.0,Uncategorized,,,,,,,,,,,,,,,,,,
Prestige Induction Cooktop - PIC 20.0 (1600 W) : 1 Unit,3645.0,3645.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Anjali Diamond Dura Waffle Toaster : 1 Unit,925.0,925.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Prestige Sandwich Toaster - 800 W : 1 Unit,1795.0,1795.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Bajaj Deluxe Sandwich Toaster - SWX 3 : 800 W,2225.0,2225.0,Uncategorized,,,,,,,,,,,,,,,,,,
Bajaj Majesty ICX Pearl Induction Cooktop : 1900 W,5000.0,5000.0,Uncategorized,,,,,,,,,,,,,,,,,,
Wonderchef Sanjeev Kapoor Mini Plus Tandoor Maker : 750 W,4000.0,4000.0,Uncategorized,,,,,,,,,,,,,,,,,,
Bajaj Majesty ICX 3 Induction Cooktop : 1400 W,4100.0,4100.0,Uncategorized,,,,,,,,,,,,,,,,,,
Midea Innerchef Digital Air Fryer MF-CN40D2 - 1500 W : 1 Unit,8990.0,8990.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Midea Air Fryer (MF-TN40E2 ) - 1600 W : 1 Unit,7590.0,7590.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Pigeon Favourite Glass Top Gas Stove : 2 Burners,4399.0,4399.0,Uncategorized,,,,,,,,,,,,,,,,,,
Suryaflame Stainless Steel Lotus LPG Gas Stove : 3 Burners,6995.0,6995.0,Uncategorized,,,,,,,,,,,,,,,,,,
Butterfly Hippo Stainless Steel Gas Stove : 2 Burners,3429.0,3429.0,Uncategorized,,,,,,,,,,,,,,,,,,
Prestige Magic Plus Glass Top Gas Stove : 3 Burners,5695.0,5695.0,Uncategorized,,,,,,,,,,,,,,,,,,
Prestige Magic Plus Glass Top Gas Stove : 2 Burners,3995.0,3995.0,Uncategorized,,,,,,,,,,,,,,,,,,
Glen Glass Top LPG Stove 1040 XL Junior Brass Burner - Black : 4 Burner,8995.0,8995.0,Uncategorized,,,,,,,,,,,,,,,,,,
Glen Stainless Steel LPG Stove 1044 Brass Burner - Silver : 4 Burner,10695.0,10695.0,Uncategorized,,,,,,,,,,,,,,,,,,
Glen Stainless Steel LPG Stove 1036  HF Brass Burner - Silver : 3 Burner,7665.0,7665.0,Uncategorized,,,,,,,,,,,,,,,,,,
Butterfly Wave Stainless Steel Glass Top Gas Stove : 3 Burners,9120.0,9120.0,Uncategorized,,,,,,,,,,,,,,,,,,
Glen Glass Top LPG Stove 1030 Brass Burner - Black : 3 Burner,7495.0,7495.0,Uncategorized,,,,,,,,,,,,,,,,,,
Glen Stainless Steel LPG Stove 1020 Brass Burner - Silver : 2 Burner,4595.0,4595.0,Uncategorized,,,,,,,,,,,,,,,,,,
Wonderchef Duralife Slim Glass Cooktop : 3 Burners,8000.0,8000.0,Uncategorized,,,,,,,,,,,,,,,,,,
Glen Glass Top LPG Gas Stove 1022 XL Brass Burner - Black : 2 Burner,6395.0,6395.0,Uncategorized,,,,,,,,,,,,,,,,,,
Wonderchef Crescent Electric Kettle (1350 W) - 1.5 L : 1 Unit,1600.0,1600.0,Uncategorized,,,,,,,,,,,,,,,,,,
Prestige PKOSS Kettle : 1.5 Litres,1445.0,1445.0,Uncategorized,,,,,,,,,,,,,,,,,,
Borosil Rio Kettle (1350 W) -  1.5 L : 1 Unit,1440.0,1440.0,Uncategorized,,,,,,,,,,,,,,,,,,
Jaipan Stainless Steel Electric Kettle : 1.8 L,1895.0,1895.0,Uncategorized,,,,,,,,,,,,,,,,,,
Pigeon Hot Kettle (Silver & Black) - 1.5 Litres : 1300 W,1045.0,1045.0,Uncategorized,,,,,,,,,,,,,,,,,,
Kent Elegant Electric Glass Kettle (116052) : 1.8 L,2000.0,2000.0,Uncategorized,,,,,,,,,,,,,,,,,,
Nouvetta Electric Smart Kettle - 1500 W (Red) 1.8 L : 1 Unit,1695.0,1695.0,Uncategorized,,,,,,,,,,,,,,,,,,
Nouvetta Electric Smart Kettle - 1500 W (Black) 1.8 L : 1 Unit,1695.0,1695.0,Uncategorized,,,,,,,,,,,,,,,,,,
Kent Gold Optima Water Purifier (11016) : 10 L,2000.0,2000.0,Uncategorized,,,,,,,,,,,,,,,,,,
Kent Gold Storage Water Purifier (11014) : 20 L,3400.0,3400.0,Home Utility & Organisers,storage,,,,,,,,,,,,,,,,,
Agaro Grand Egg And Poacher Boiler - 500 W : 1 Unit,2199.0,2199.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Philips Hair Dryer HP8142 : 1000 W,995.0,995.0,Personal Care & Beauty,hair,,,,,,,,,,,,,,,,,
Vega 3 In 1 Hair Styler - VHSCC01 : 1 Unit,1999.0,1999.0,Personal Care & Beauty,hair,1 Unit,,,,,,,,,,,,,,,,
Caresmith Bloom Face & Body Hair Trimmer - Green :1 Unit,2300.0,2300.0,Personal Care & Beauty,hair,1 Unit,,,,,,,,,,,,,,,,
Caresmith Revive Electric Head Massager -Green :1 Unit,4200.0,4200.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Vega Power Series P-1 Beard Trimmer ( VHTH-25 ) Green : 1 Unit,999.0,999.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Caresmith Charge X Percussion Massage Gun -Black :1 Unit,5400.0,5400.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Caresmith Charge Boost X Percussion Massage Gun -Dark Blue : 1 Unit,3900.0,3900.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Nouvetta Bluetooth Digital Personal Smart Weighing Scale Machine : Black,2695.0,2695.0,Uncategorized,,,,,,,,,,,,,,,,,,
Caresmith Bloom Bikini Trimmer Plus -Purple :1 Unit,3000.0,3000.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Caresmith Crew T -Blade Beard Trimmer - Blue :1 Unit,2500.0,2500.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Eagle Multi Purpose Digital Weighing Scale (10 kg) - Sky Blue : 1 Unit,999.0,999.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Eagle Electronic Personal Weighing Scale (180 kg) - Multi : 1 Unit,1999.0,1999.0,Electronics & Appliances,electronic,1 Unit,,,,,,,,,,,,,,,,
Zlade Ballistic TURBO 3.0 Full-Body Manscaping Trimmer For Men - Black : 1 Unit,3999.0,3999.0,Lighting & Electrical,pin,1 Unit,,,,,,,,,,,,,,,,
Zlade Ballistic Pro Full-Body Manscaping Trimmer With Ceramic Blades - Black : 1 Unit,2999.0,2999.0,Lighting & Electrical,pin,1 Unit,,,,,,,,,,,,,,,,
Eagle Portable Electronic Hanging Scale (50 kg) - Assorted  : 1 Unit,899.0,899.0,Electronics & Appliances,electronic,1 Unit,,,,,,,,,,,,,,,,
Zlade Ballistic Nose & Ear Hair Trimmer - Black : 1 Unit,999.0,999.0,Personal Care & Beauty,hair,1 Unit,,,,,,,,,,,,,,,,
Zlade Ballistic Lite Full-Body Trimmer with Extra Head - Black : 1 Unit,2798.0,2798.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Agaro Electric Callus Remover CR1727 With 3 Head Rollers : 1 unit,1299.0,1299.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Caresmith Crew Manscaping Trimmer - Blue :1 Unit,2500.0,2500.0,Lighting & Electrical,pin,1 Unit,,,,,,,,,,,,,,,,
Zlade Summer Intimate Body Trimmer For Women - Pink : 1 Unit,2999.0,2999.0,Lighting & Electrical,pin,1 Unit,,,,,,,,,,,,,,,,
Agaro Atom Electric Handheld Full Body Massager - 28 W : 1Unit,1995.0,1995.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Ambrane Fitshot Sphere 1.28 Inches Smart Watch : Raven Black,4999.0,4999.0,Uncategorized,,,,,,,,,,,,,,,,,,
Beezy Stainless Steel Push Chopper : 1 Unit,448.0,448.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Sealing Clip Bag : 12 Units,66.0,66.0,Bags & Accessories,bag,12 Unit,,,,,,,,,,,,,,,,
Crystal Stainless Steel Oil Pourer : 500 ml,445.0,445.0,Uncategorized,,500 ml,,,,,,,,,,,,,,,,
Crystal Stainless Steel Oil Pourer : 1 Litre,595.0,595.0,Uncategorized,,,,,,,,,,,,,,,,,,
Prestige Gas Lighter With Knife : 1 Unit,145.0,145.0,Lighting & Electrical,light,1 Unit,,,,,,,,,,,,,,,,
Bamboo Chopping Board (35 x 25 x 1.5 cm) : 1 Unit,260.0,260.0,Lighting & Electrical,pin,5 cm,,,,,,,,,,,,,,,,
Stainless Steel Tea Strainer : 1 Unit,69.0,69.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Pigeon Handy Chopper Pro Mini - 400 ml : 1 Unit,695.0,695.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Joyo Oil Can - Blue : 1 Litre,149.0,149.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Anjali Gas Round Trolley - Super : 1 Unit,225.0,225.0,Bags & Accessories,trolley,1 Unit,,,,,,,,,,,,,,,,
Anjali Stainless Steel Gas Lighter Dura : 1 Unit,150.0,150.0,Lighting & Electrical,light,1 Unit,,,,,,,,,,,,,,,,
Anjali Kitchen Express Gripper (Chakli Maker) - 12 Jalis : 1 Unit,695.0,695.0,Home Decor,kitchen,1 Unit,,,,,,,,,,,,,,,,
Pigeon Rechargeable Zoom Chopper - 350 ml : 1 Unit,1495.0,1495.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
